Sadio Mane;9;1990;06/06/2022;20;0;29845280;10000000
Serge Gnabry;7;1995;01/07/2017;2825;17;156936800;150000000
Leroy Sane;10;1996;02/07/2020;3040;14;151889600;135000000
Thomas Muller;25;1989;01/07/2000;3563;13;147854720;130000000
Eric Maxim Choupo-Moting;13;1989;05/10/2020;723;10;118498560;115000000
Jamal Musiala;42;2003;04/07/2019;2028;8;109946240;105000000
Kingsley Coman;11;1996;30/08/2015;2092;8;112962240;105000000
Joshua Kimmich;6;1995;01/07/2015;3404;3;97854720;80000000
Leon Goretzka;8;1995;01/07/2018;2070;3;91883040;80000000
Corentin Tolisso;24;1994;01/07/2017;1071;3;86936800;80000000
Tanguy Nianzou;23;2002;01/07/2020;1087;2;78800160;75000000
Dayot Upamecano;2;1998;05/07/2021;3226;1;77962240;70000000
Niklas Sule;4;1995;01/07/2017;2519;1;72895360;70000000
Marcel Sabitzer;18;1994;38/08/2021;1029;1;76936800;70000000
Josip Stanisic;44;2000;17/01/2017;989;1;70307632;70000000
Manuel Neuer;1;1986;01/07/2011;3501;0;82854720;65000000
Lucas Hernandez;21;1996;01/07/2019;2700;0;76883040;65000000
Benjamin Pavard;5;1996;01/07/2019;2979;0;71936800;65000000
Alphonso Davies;19;2000;01/01/2019;2366;0;70127200;65000000
Omar Richards;3;1998;01/07/2021;790;0;66990560;65000000
Marc Roca;22;1996;04/10/2020;519;0;67774720;65000000
Sven Ulreich;26;1988;01/07/2021;945;0;67352480;65000000
Bouna Sarr;20;1992;05/10/2020;490;1;59162080;55000000
Christian Fruchtl;36;2000;01/07/2014;9;0;10446368;10000000
Michaël Cuisance;17;1999;18/08/2019;269;1;55307632;55000000
